Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Ecuador,ECU,GDP (current US$),NY.GDP.MKTP.CD,2069464937,1753850955,1518207703,1824343871,2244146103,2387047396,2429308639,2553595172,2582179864,3112165727,2862503139,2754219271,3185986087,3891754150,6599257044,7731674472,9091921030,11026342618,11922497876,14175160902,17881508242,21810759354,19929846396,17152477037,16912509092,17149088413,15314138472,13945426859,13051881851,13890823705,15239272612,16988535268,18094238119,18938717359,22708673337,24432884442,25226393197,28162053027,27981896948,19645272636,17539454727,23127055000,27054197000,30965208000,35194947000,40278849000,45690762000,49848725000,61139438000,60094978000,68151329000,78986648000,87735048000,96570334000,1.02718E+11,97209558000,97671433000,1.04467E+11,1.07479E+11,1.07596E+11,95865472000,1.07435E+11,1.16586E+11,1.18845E+11
Spain,ESP,GDP (current US$),NY.GDP.MKTP.CD,12424514014,14238126760,16609632791,19631714760,21966876027,25479619607,29559436183,32570905397,32394326464,37090689288,40963715237,46586119760,59090176029,78583355226,97204522642,1.14695E+11,1.18423E+11,1.32355E+11,1.60485E+11,2.14449E+11,2.32601E+11,2.02663E+11,1.95857E+11,1.70829E+11,1.7198E+11,1.80664E+11,2.51142E+11,3.1852E+11,3.75892E+11,4.14461E+11,5.36175E+11,5.76754E+11,6.30465E+11,5.24701E+11,5.30184E+11,6.1417E+11,6.42251E+11,5.8974E+11,6.18731E+11,6.34395E+11,5.98103E+11,6.27799E+11,7.08938E+11,9.07963E+11,1.06983E+12,1.15467E+12,1.26185E+12,1.47675E+12,1.63612E+12,1.49659E+12,1.42799E+12,1.48757E+12,1.33099E+12,1.36219E+12,1.38024E+12,1.20616E+12,1.24302E+12,1.32175E+12,1.43164E+12,1.4035E+12,1.28978E+12,1.46124E+12,1.4465E+12,1.62009E+12
France,FRA,GDP (current US$),NY.GDP.MKTP.CD,61756878990,66806595975,74888595286,83957182115,93079224076,1.00523E+11,1.08928E+11,1.17751E+11,1.28428E+11,1.40362E+11,1.46927E+11,1.64239E+11,2.01622E+11,2.62344E+11,2.83102E+11,3.56781E+11,3.68488E+11,4.06736E+11,5.01724E+11,6.08219E+11,6.94529E+11,6.09185E+11,5.78152E+11,5.53356E+11,5.25033E+11,5.47221E+11,7.64947E+11,9.26321E+11,1.01083E+12,1.01674E+12,1.25765E+12,1.25896E+12,1.38966E+12,1.31438E+12,1.38582E+12,1.59522E+12,1.59889E+12,1.44939E+12,1.49691E+12,1.48692E+12,1.36096E+12,1.37038E+12,1.49243E+12,1.8351E+12,2.10979E+12,2.19215E+12,2.31786E+12,2.65582E+12,2.9268E+12,2.70008E+12,2.64623E+12,2.87041E+12,2.68301E+12,2.81608E+12,2.86124E+12,2.44248E+12,2.47041E+12,2.58887E+12,2.78158E+12,2.72279E+12,2.64793E+12,2.96643E+12,2.7963E+12,3.05183E+12
United Kingdom,GBR,GDP (current US$),NY.GDP.MKTP.CD,73233967692,77741965703,81247564157,86561961812,94407558351,1.01825E+11,1.08573E+11,1.13117E+11,1.0776E+11,1.16465E+11,1.30672E+11,1.48114E+11,1.69965E+11,1.92538E+11,2.06131E+11,2.41757E+11,2.32615E+11,2.63066E+11,3.35883E+11,4.38994E+11,5.64948E+11,5.40766E+11,5.15049E+11,4.89618E+11,4.61487E+11,4.89285E+11,6.01453E+11,7.45163E+11,9.10123E+11,9.26885E+11,1.09317E+12,1.1428E+12,1.17966E+12,1.06139E+12,1.14049E+12,1.34424E+12,1.41965E+12,1.56091E+12,1.65369E+12,1.68783E+12,1.66553E+12,1.64983E+12,1.78573E+12,2.05442E+12,2.42153E+12,2.54318E+12,2.70844E+12,3.09051E+12,2.92941E+12,2.41284E+12,2.48548E+12,2.66381E+12,2.70709E+12,2.78485E+12,3.06471E+12,2.92791E+12,2.68911E+12,2.68015E+12,2.87134E+12,2.85141E+12,2.69678E+12,3.14332E+12,3.11404E+12,3.38085E+12
India,IND,GDP (current US$),NY.GDP.MKTP.CD,37029883876,39232435784,42161481858,48421923459,56480289941,59556105229,45581230504,50134942204,53085455871,58447995017,62422483055,67351404352,71464700667,85517673173,99526597934,98473832017,1.02716E+11,1.21487E+11,1.37302E+11,1.52995E+11,1.86329E+11,1.93491E+11,2.00716E+11,2.18262E+11,2.12158E+11,2.32512E+11,2.48986E+11,2.79034E+11,2.9659E+11,2.96042E+11,3.20979E+11,2.70105E+11,2.88208E+11,2.79296E+11,3.27275E+11,3.60282E+11,3.92897E+11,4.15868E+11,4.21351E+11,4.58821E+11,4.68396E+11,4.8544E+11,5.14939E+11,6.07701E+11,7.09153E+11,8.20384E+11,9.4026E+11,1.21674E+12,1.1989E+12,1.34189E+12,1.67562E+12,1.82305E+12,1.82764E+12,1.85672E+12,2.03913E+12,2.10359E+12,2.2948E+12,2.65147E+12,2.70293E+12,2.83561E+12,2.67485E+12,3.16727E+12,3.35347E+12,3.56755E+12
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,3064824614,3701628228,2960588778,3529314756,4016794166,4320961974,4694475521,4753451344,5448186540,6286036401,7392816015,7041133471,9206101184,11882380396,17142653330,16114210526,15927976744,18224638345,17668930043,22569139913,25349508550,26833679976,29202655837,32616995896,30590497936,28853757189,35769715530,42972129787,52556269374,52349172912,61905208273,70871081525,79314801236,79712276314,90576930829,1.05308E+11,1.14867E+11,1.19246E+11,1.20358E+11,1.21167E+11,1.36225E+11,1.34621E+11,1.25055E+11,1.31315E+11,1.39899E+11,1.47103E+11,1.58723E+11,1.84069E+11,2.20552E+11,2.12454E+11,2.38913E+11,2.67406E+11,2.62918E+11,2.97634E+11,3.1409E+11,3.02723E+11,3.20959E+11,3.57227E+11,3.7515E+11,3.99651E+11,4.11729E+11,4.89708E+11,5.25E+11,5.13611E+11
Japan,JPN,GDP (current US$),NY.GDP.MKTP.CD,47419238274,57266758180,64987857542,74379284603,87490590818,97338107606,1.13047E+11,1.32476E+11,1.56897E+11,1.84299E+11,2.17224E+11,2.45364E+11,3.24934E+11,4.41461E+11,4.90036E+11,5.32861E+11,5.98884E+11,7.37069E+11,1.03561E+12,1.07791E+12,1.12938E+12,1.24522E+12,1.15873E+12,1.27086E+12,1.34582E+12,1.42702E+12,2.12008E+12,2.58075E+12,3.12572E+12,3.10946E+12,3.1859E+12,3.64807E+12,3.9807E+12,4.53694E+12,4.9988E+12,5.54556E+12,4.92339E+12,4.49245E+12,4.09836E+12,4.63598E+12,4.96836E+12,4.37471E+12,4.18285E+12,4.51956E+12,4.89312E+12,4.83147E+12,4.60166E+12,4.57975E+12,5.10668E+12,5.28949E+12,5.75907E+12,6.23315E+12,6.27236E+12,5.21233E+12,4.89699E+12,4.44493E+12,5.00368E+12,4.93084E+12,5.04088E+12,5.11799E+12,5.05559E+12,5.03462E+12,4.25641E+12,4.20449E+12
Mexico,MEX,GDP (current US$),NY.GDP.MKTP.CD,13040000000,14160000000,15200000000,16960000000,20080000000,21840000000,24320000000,26560000000,29360000000,32480000000,35520000000,39200000000,45200000000,55280000000,72000000000,88000000000,88875923765,81912018784,1.02649E+11,1.34532E+11,2.05577E+11,2.63798E+11,1.84603E+11,1.56167E+11,1.84231E+11,1.95241E+11,1.34556E+11,1.47543E+11,1.81611E+11,2.21403E+11,2.61254E+11,3.1314E+11,3.63158E+11,5.30161E+11,5.53618E+11,3.80157E+11,4.32158E+11,5.2345E+11,5.57461E+11,6.31249E+11,7.42061E+11,7.96065E+11,8.10666E+11,7.6555E+11,8.19459E+11,9.17572E+11,1.02027E+12,1.10236E+12,1.16155E+12,9.43437E+11,1.10542E+12,1.22901E+12,1.25511E+12,1.32744E+12,1.36451E+12,1.21329E+12,1.11223E+12,1.19072E+12,1.2563E+12,1.30411E+12,1.12106E+12,1.31657E+12,1.46431E+12,1.78911E+12
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,537147100,599026300,652120900,722784500,776137500,852485300,928833000,1034376400,1112791100,1221305700,1351006400,1523917200,1673411700,1913793400,2188307600,2435304100,2588106000,2738261900,3244558600,3704551600,4614086400,5222421500,5769767900,5923755900,6183387100,6541517100,6797834200,6827665300,5902783400,5918469800,6433967000,7074675500,8042337700,8782585400,9365289800,9573813700,9197503300,10058854400,11019557700,11660704800,11966497000,12252906300,12800851300,13603456000,15100203400,16623906700,18659721500,21717433800,25721328000,27791215500,30231009500,35687738300,41595439700,46949496500,51427104900,55767806100,59760858700,64327688800,67316471200,69778991200,57059846500,67396392500,76276116700,83318176900
Peru,PER,GDP (current US$),NY.GDP.MKTP.CD,2571986572,2897852693,3284322201,3598272493,4353664867,5163008077,6109048737,6194340080,5736083835,6420909790,7432223177,8289582884,9189413409,10994381895,13858441211,16931162355,16131958851,14544913961,12491876743,15954012439,18136838538,21648214893,21794535621,17345260564,17600400385,15078736875,21859448586,36889706593,15439408447,22499558526,26410386963,34341465998,35966302303,34832077221,44882079767,53312793687,55252414130,58147522523,55501467877,50187324568,51744749133,52030158775,54777553515,58731030122,66768703498,76060606061,88643193062,1.02171E+11,1.20551E+11,1.20823E+11,1.47528E+11,1.71762E+11,1.9265E+11,2.01176E+11,2.00786E+11,1.89803E+11,1.91898E+11,2.11008E+11,2.22597E+11,2.28346E+11,2.0141E+11,2.26354E+11,2.46489E+11,2.67603E+11
"Korea, Dem. People's Rep.",PRK,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,5.41989E+11,5.6194E+11,6.03639E+11,6.37059E+11,6.84145E+11,7.41905E+11,8.13033E+11,8.5962E+11,9.40225E+11,1.01744E+12,1.0733E+12,1.16485E+12,1.27911E+12,1.42538E+12,1.54524E+12,1.6849E+12,1.87341E+12,2.08183E+12,2.3516E+12,2.62733E+12,2.85731E+12,3.20704E+12,3.34379E+12,3.63404E+12,4.03761E+12,4.33898E+12,4.57963E+12,4.85522E+12,5.23644E+12,5.64158E+12,5.96314E+12,6.15813E+12,6.52033E+12,6.85856E+12,7.28724E+12,7.63975E+12,8.07312E+12,8.57755E+12,9.06282E+12,9.63117E+12,1.0251E+13,1.05819E+13,1.09291E+13,1.14565E+13,1.22172E+13,1.30392E+13,1.38156E+13,1.44742E+13,1.47699E+13,1.44781E+13,1.5049E+13,1.55997E+13,1.6254E+13,1.68807E+13,1.76081E+13,1.8295E+13,1.88049E+13,1.96121E+13,2.06565E+13,2.154E+13,2.13541E+13,2.36812E+13,2.60069E+13,2.77207E+13
"Venezuela, RB",VEN,GDP (current US$),NY.GDP.MKTP.CD,7663938303,8067267031,8814309884,9608717288,8192413793,8427777778,8781333333,9250000000,10034444444,10285111111,11561111111,12986590909,13977727273,17035581395,26100930233,27464651163,31419534884,36210697674,39316279070,48310930233,59116511628,66327441860,67736744186,67556279070,59867743468,61965466667,60516123711,48029034483,60226413793,43536709104,48606952195,53453444787,60416519620,60037460783,58418666667,77389487770,70543211119,85837678560,91336763255,97972842462,1.17146E+11,1.22911E+11,92893587734,83620628582,1.12451E+11,1.45513E+11,1.83478E+11,2.30364E+11,3.15953E+11,3.29788E+11,3.93192E+11,3.16482E+11,3.81286E+11,3.71005E+11,4.82359E+11,,,,,,,,,
